Strategy, Time,  Contract, Group, Direction, Quantity, Price

JGB,2019-09-27 18:34:47.210874+00:00,JGB,Parent order 1094,SELL,1,155.38
JGB,2019-09-27 18:34:47.221888+00:00,JGB,Child order 1094,BUY,1,155.28
JGB,2019-09-27 18:34:47.227892+00:00,JGB,Child order 1094,BUY,1,155.57999999999998
JGB,2019-09-27 18:34:47.231896+00:00,JGB,Parent order 1097,BUY,1,154.85999999999999
JGB,2019-09-27 18:34:47.235899+00:00,JGB,Child order 1097,SELL,1,154.95999999999998
JGB,2019-09-27 18:34:47.240903+00:00,JGB,Child order 1097,SELL,1,154.66
JGB,2019-09-27 18:36:02.210946+00:00,JGB,Parent order 1104,SELL,1,155.38
JGB,2019-09-27 18:36:02.221955+00:00,JGB,Child order 1104,BUY,1,155.28
JGB,2019-09-27 18:36:02.228960+00:00,JGB,Child order 1104,BUY,1,155.57999999999998
JGB,2019-09-27 18:36:02.233965+00:00,JGB,Parent order 1107,BUY,1,154.85999999999999
JGB,2019-09-27 18:36:02.237969+00:00,JGB,Child order 1107,SELL,1,154.95999999999998
JGB,2019-09-27 18:36:02.243973+00:00,JGB,Child order 1107,SELL,1,154.66
JGB,2019-09-27 18:36:43.691717+00:00,JGB,Parent order 1114,SELL,1,155.38
JGB,2019-09-27 18:36:43.702730+00:00,JGB,Child order 1114,BUY,1,155.28
JGB,2019-09-27 18:36:43.706733+00:00,JGB,Child order 1114,BUY,1,155.57999999999998
JGB,2019-09-27 18:36:43.711739+00:00,JGB,Parent order 1117,BUY,1,154.85999999999999
JGB,2019-09-27 18:36:43.718743+00:00,JGB,Child order 1117,SELL,1,154.95999999999998
JGB,2019-09-27 18:36:43.723748+00:00,JGB,Child order 1117,SELL,1,154.66
