Strategy, Time, Contract, Direction, Quantity, Exec Price

JGB,2019-11-04 22:45:01+00:00,JGB,BOT,1.0,154.14
JGB,2019-11-05 03:22:33+00:00,JGB,SLD,1.0,153.95
JGB,2019-11-05 03:22:33+00:00,JGB,SLD,1.0,153.95
JGB,2019-11-05 22:58:43+00:00,JGB,BOT,1.0,153.56
JGB,2019-11-06 00:14:24+00:00,JGB,SLD,1.0,153.36
JGB,2019-11-06 00:14:24+00:00,JGB,SLD,1.0,153.36
JGB,2019-11-06 23:52:57+00:00,JGB,BOT,1.0,153.24
JGB,2019-11-07 00:31:45+00:00,JGB,SLD,1.0,153.04
JGB,2019-11-11 23:36:34+00:00,JGB,BOT,1.0,152.86
JGB,2019-11-12 02:35:04+00:00,JGB,SLD,1.0,152.66
JGB,2019-11-11 23:36:34+00:00,JGB,BOT,1.0,152.86
JGB,2019-11-12 02:35:04+00:00,JGB,SLD,1.0,152.66
JGB,2019-11-12 22:52:39+00:00,JGB,SLD,1.0,152.67
JGB,2019-11-13 15:48:09+00:00,JGB,BOT,1.0,152.98
JGB,2019-11-13 23:30:13+00:00,JGB,SLD,1.0,153.01
JGB,2019-11-14 04:14:26+00:00,JGB,BOT,1.0,153.22
JGB,2019-11-13 23:30:13+00:00,JGB,SLD,1.0,153.01
JGB,2019-11-14 04:14:26+00:00,JGB,BOT,1.0,153.22
JGB,2019-11-14 23:40:24+00:00,JGB,BOT,1.0,153.22
JGB,2019-11-15 04:41:49+00:00,JGB,SLD,1.0,153.02
